epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,9822.21,1.24899,1.55467,1.44881,0.92784,0.89573,0.93764,0.56392,1.44504,1.27285,1.68985,0.00422449,0.00422449,0.00422449
85,9937.19,1.24412,1.53666,1.438,0.92332,0.88962,0.9404,0.56727,1.46937,1.31339,1.70702,0.00412246,0.00412246,0.00412246
86,10052.1,1.23816,1.51099,1.43607,0.91249,0.89846,0.93949,0.56477,1.47202,1.27914,1.71125,0.00402084,0.00402084,0.00402084
87,10166.7,1.23725,1.5279,1.4333,0.92396,0.89919,0.94109,0.55942,1.46109,1.2561,1.70035,0.00391966,0.00391966,0.00391966
88,10281.5,1.23792,1.50693,1.42764,0.9259,0.89563,0.93993,0.55968,1.45879,1.27893,1.69766,0.00381899,0.00381899,0.00381899
89,10396.2,1.22307,1.512,1.42287,0.91569,0.90183,0.93346,0.55614,1.46448,1.3039,1.72695,0.00371885,0.00371885,0.00371885
90,10510.9,1.24089,1.50676,1.4304,0.90212,0.90171,0.93384,0.55397,1.47532,1.29327,1.72694,0.00361929,0.00361929,0.00361929
91,10625.9,1.22495,1.49328,1.41874,0.89383,0.90835,0.93736,0.56027,1.46445,1.309,1.71134,0.00352037,0.00352037,0.00352037
92,10740.1,1.22126,1.47985,1.41674,0.92503,0.88294,0.93749,0.55329,1.47491,1.30083,1.71032,0.00342211,0.00342211,0.00342211
93,10854.6,1.21798,1.46699,1.41436,0.91126,0.89468,0.93435,0.55585,1.46329,1.3118,1.71035,0.00332457,0.00332457,0.00332457
94,10969.3,1.21993,1.45496,1.40395,0.92437,0.90471,0.93696,0.56096,1.44206,1.25532,1.68288,0.00322778,0.00322778,0.00322778
95,11083.9,1.20835,1.44495,1.40518,0.91421,0.90209,0.93075,0.56294,1.44414,1.25722,1.70446,0.0031318,0.0031318,0.0031318
96,11198.8,1.21046,1.46435,1.42154,0.90773,0.90229,0.93143,0.56268,1.45385,1.27887,1.69459,0.00303665,0.00303665,0.00303665
97,11313.5,1.20732,1.45883,1.4136,0.91948,0.89712,0.93115,0.56437,1.45754,1.31863,1.7055,0.00294239,0.00294239,0.00294239
98,11428.2,1.20024,1.43091,1.40205,0.93143,0.88188,0.93788,0.56819,1.44639,1.23584,1.70002,0.00284906,0.00284906,0.00284906
99,11543.2,1.20526,1.42647,1.40745,0.91621,0.89758,0.93307,0.56469,1.46778,1.25894,1.71289,0.00275668,0.00275668,0.00275668
100,11657.5,1.18918,1.43249,1.40261,0.90954,0.90135,0.93496,0.56043,1.48558,1.24653,1.73762,0.00266532,0.00266532,0.00266532
101,11772.5,1.1951,1.43139,1.39681,0.93877,0.87345,0.93926,0.56475,1.47343,1.26161,1.71255,0.002575,0.002575,0.002575
102,11887.2,1.18714,1.40812,1.38668,0.91845,0.90152,0.93121,0.56442,1.4839,1.2507,1.71845,0.00248577,0.00248577,0.00248577
103,12001.8,1.18722,1.40307,1.38733,0.92836,0.89142,0.93494,0.56164,1.47702,1.2583,1.72312,0.00239766,0.00239766,0.00239766
104,12116.7,1.19028,1.42228,1.39588,0.90641,0.90438,0.93622,0.55595,1.49845,1.28978,1.73638,0.00231071,0.00231071,0.00231071
105,12230.8,1.18648,1.40391,1.38338,0.92534,0.89238,0.93956,0.55342,1.48878,1.25519,1.73321,0.00222497,0.00222497,0.00222497
106,12345.8,1.18631,1.40317,1.39543,0.91505,0.89271,0.93525,0.55697,1.47431,1.24721,1.73908,0.00214046,0.00214046,0.00214046
107,12460.7,1.17983,1.38508,1.38497,0.93532,0.88561,0.93356,0.55577,1.48142,1.24557,1.74326,0.00205723,0.00205723,0.00205723
108,12574.8,1.16841,1.38134,1.38475,0.91358,0.887,0.93451,0.56214,1.46415,1.24258,1.73051,0.00197532,0.00197532,0.00197532
109,12689.4,1.17453,1.3899,1.38405,0.93823,0.87084,0.93473,0.55678,1.46604,1.26459,1.72837,0.00189475,0.00189475,0.00189475
110,12804,1.17863,1.38531,1.37955,0.92921,0.88519,0.92657,0.55554,1.47224,1.27837,1.72375,0.00181557,0.00181557,0.00181557
111,12918.8,1.16077,1.36289,1.37014,0.93672,0.87518,0.92815,0.5602,1.47539,1.29023,1.72731,0.0017378,0.0017378,0.0017378
112,13033.3,1.15555,1.36535,1.37068,0.93851,0.87776,0.93315,0.5669,1.46593,1.27006,1.72765,0.00166149,0.00166149,0.00166149
113,13147.7,1.16495,1.35006,1.35774,0.92865,0.89336,0.93517,0.56359,1.45965,1.28198,1.71902,0.00158667,0.00158667,0.00158667
114,13262.6,1.16026,1.36791,1.36645,0.94098,0.87906,0.93389,0.56428,1.46694,1.25759,1.7207,0.00151336,0.00151336,0.00151336
115,13377.4,1.16552,1.36599,1.36547,0.94517,0.87379,0.93376,0.5655,1.46735,1.28177,1.72597,0.00144161,0.00144161,0.00144161
116,13492.3,1.1558,1.35384,1.36604,0.91118,0.89782,0.93406,0.56381,1.4613,1.26417,1.71704,0.00137143,0.00137143,0.00137143
117,13607.1,1.14947,1.36577,1.36867,0.92147,0.889,0.93415,0.56409,1.46486,1.27051,1.72554,0.00130287,0.00130287,0.00130287
118,13721.3,1.14456,1.32172,1.35299,0.93009,0.88883,0.92878,0.56524,1.45193,1.25989,1.72346,0.00123596,0.00123596,0.00123596
119,13836.1,1.15038,1.33664,1.36305,0.92886,0.88726,0.92494,0.5638,1.46183,1.27608,1.73521,0.00117072,0.00117072,0.00117072
120,13951.1,1.13957,1.32019,1.35032,0.94007,0.87685,0.92917,0.56087,1.45718,1.26878,1.72078,0.00110718,0.00110718,0.00110718
121,14065.6,1.13665,1.30902,1.35001,0.92942,0.88807,0.92746,0.56291,1.45612,1.25169,1.72498,0.00104537,0.00104537,0.00104537
122,14180.3,1.13217,1.31485,1.35803,0.92343,0.88821,0.92855,0.56193,1.45434,1.25977,1.73079,0.000985311,0.000985311,0.000985311
123,14294.6,1.13847,1.31407,1.35605,0.93563,0.88132,0.92979,0.558,1.4576,1.27131,1.73111,0.00092704,0.00092704,0.00092704
124,14409.6,1.13672,1.31987,1.36055,0.92704,0.88851,0.93279,0.55978,1.45592,1.27106,1.7358,0.000870577,0.000870577,0.000870577
125,14524.6,1.13748,1.31193,1.34931,0.92485,0.88755,0.93183,0.56435,1.45547,1.29577,1.73084,0.000815947,0.000815947,0.000815947
126,14639.2,1.12307,1.29511,1.34457,0.93275,0.8803,0.93161,0.56555,1.4517,1.29421,1.72858,0.000763174,0.000763174,0.000763174
